"Economy","Disaggregation","2018","2019","2020","2021","2022","2023","2024","2025"
"Afghanistan","Overview","16.8%","17.6%","17.0485%","16.5143%","17.1917%","17.7089%","-","-"
"Afghanistan","Female","-","-","-","-","-","-","-","-"
"Afghanistan","Male","-","-","-","-","-","-","-","-"
"Angola","Overview","29%","32.1294%","36.6347%","39.3876%","42.0719%","44.7581%","-","-"
"Angola","Female","-","-","-","-","-","-","-","-"
"Angola","Male","-","-","-","-","-","-","-","-"
"Australia","Overview","90%","93.6099%","94.6935%","96.9722%","97.0424%","97.0631%","-","-"
"Australia","Female","-","-","-","-","-","-","-","-"
"Australia","Male","-","-","-","-","-","-","-","-"
"Bangladesh","Overview","25.6%","30.4%","36.1091%","38.9174%","41.6165%","44.5027%","-","-"
"Bangladesh","Female","-","-","-","32.6864%","-","37.3212%","-","-"
"Bangladesh","Male","-","-","-","45.2526%","-","51.6665%","-","-"
"Benin","Overview","19%","20.5%","22.1206%","28.2047%","30.0134%","32.2083%","-","-"
"Benin","Female","-","-","-","-","-","-","-","-"
"Benin","Male","-","-","-","-","-","-","-","-"
"Bhutan","Overview","63.5%","74.1794%","76.8508%","85.6369%","86.2903%","88.426%","-","-"
"Bhutan","Female","-","-","-","86.2535%","-","-","-","-"
"Bhutan","Male","-","-","-","84.7856%","-","-","-","-"
"Botswana","Overview","54.2022%","61.3865%","69.523%","78.738%","80.3696%","81.36%","-","-"
"Botswana","Female","-","-","-","-","-","-","-","-"
"Botswana","Male","-","-","-","-","-","-","-","-"
"Brunei Darussalam","Overview","95%","95%","96.3055%","97.6288%","98.9704%","99.0336%","-","-"
"Brunei Darussalam","Female","-","99.7502%","-","-","-","-","-","-"
"Brunei Darussalam","Male","-","91.8332%","-","-","-","-","-","-"
"Burkina Faso","Overview","8.5%","9.27181%","10.7927%","12.5631%","14.6238%","17.0226%","-","-"
"Burkina Faso","Female","-","6.61695%","-","-","-","-","-","-"
"Burkina Faso","Male","-","12.2789%","-","-","-","-","-","-"
"Burundi","Overview","4%","6.1%","9.17302%","10.9847%","11.0009%","11.0784%","-","-"
"Burundi","Female","-","-","-","-","-","-","-","-"
"Burundi","Male","-","-","-","-","-","-","-","-"
"Cabo Verde","Overview","59.5%","61.9434%","69.3734%","70.2825%","72.7601%","73.539%","-","-"
"Cabo Verde","Female","-","60.965%","-","-","-","-","-","-"
"Cabo Verde","Male","-","62.9212%","-","-","-","-","-","-"
"Cambodia","Overview","-","52.3059%","53.6508%","57.9592%","59.6606%","60.7171%","-","-"
"Cambodia","Female","-","51.712%","-","-","-","-","-","-"
"Cambodia","Male","-","52.9595%","-","-","-","-","-","-"
"Cameroon","Overview","29.7%","36.5392%","41.2264%","42.0405%","41.775%","41.9088%","-","-"
"Cameroon","Female","-","-","-","-","-","-","-","-"
"Cameroon","Male","-","-","-","-","-","-","-","-"
"Central African Rep.","Overview","5.1%","7.50916%","-","-","-","-","-","-"
"Central African Rep.","Female","-","-","-","-","-","-","-","-"
"Central African Rep.","Male","-","-","-","-","-","-","-","-"
"Chad","Overview","7%","7.6%","8.34311%","13.1283%","12.4865%","13.1832%","-","-"
"Chad","Female","-","-","-","-","-","-","-","-"
"Chad","Male","-","-","-","-","-","-","-","-"
"China","Overview","59.2%","64.0809%","70.0528%","73.0532%","75.6113%","90.6%","92%","-"
"China","Female","-","63.0484%","70.4569%","72.6218%","75.2437%","77.3218%","-","-"
"China","Male","-","65.0694%","69.6681%","73.4646%","75.9624%","77.6366%","-","-"
"Congo (Rep. of the)","Overview","-","-","24.8206%","33.3461%","37.4939%","38.3791%","-","-"
"Congo (Rep. of the)","Female","-","-","-","-","-","-","-","-"
"Congo (Rep. of the)","Male","-","-","-","-","-","-","-","-"
"Côte d'Ivoire","Overview","37.5465%","36.289%","36.0166%","35.9507%","38.4133%","40.6528%","-","-"
"Côte d'Ivoire","Female","29.3579%","32.9244%","-","-","33.9081%","35.3225%","-","-"
"Côte d'Ivoire","Male","45.2287%","39.8089%","-","-","43.2628%","46.4065%","-","-"
"Dem. Rep. of the Congo","Overview","11.7%","16.4812%","21.6422%","28.4193%","29.4996%","30.548%","-","-"
"Dem. Rep. of the Congo","Female","-","-","-","-","-","-","-","-"
"Dem. Rep. of the Congo","Male","-","-","-","-","-","-","-","-"
"Equatorial Guinea","Overview","-","49.1337%","55.0013%","58.7173%","59.3433%","60.3661%","-","-"
"Equatorial Guinea","Female","-","-","-","-","-","-","-","-"
"Equatorial Guinea","Male","-","-","-","-","-","-","-","-"
"Eritrea","Overview","5.3%","11.2%","14.3494%","18.3844%","18.7092%","20.0104%","-","-"
"Eritrea","Female","-","-","-","-","-","-","-","-"
"Eritrea","Male","-","-","-","-","-","-","-","-"
"Eswatini","Overview","39.4%","43.9%","49.013%","53.9953%","57.465%","57.62%","-","-"
"Eswatini","Female","-","-","-","-","-","-","-","-"
"Eswatini","Male","-","-","-","-","-","-","-","-"
"Ethiopia","Overview","15.9%","16%","16.0696%","16.6981%","-","-","-","-"
"Ethiopia","Female","-","-","-","13.7072%","-","-","-","-"
"Ethiopia","Male","-","-","-","19.7244%","-","-","-","-"
"Fiji","Overview","58.2364%","63.2179%","68.6256%","74.4958%","78.2433%","79.3485%","-","-"
"Fiji","Female","-","-","-","-","-","-","-","-"
"Fiji","Male","-","-","-","-","-","-","-","-"
"Gabon","Overview","55.4202%","59.5176%","63.9179%","68.6436%","70.7069%","71.9256%","-","-"
"Gabon","Female","-","-","-","-","-","-","-","-"
"Gabon","Male","-","-","-","-","-","-","-","-"
"Gambia","Overview","28.3%","31.1183%","34.2172%","37.6247%","44.0389%","45.9137%","-","-"
"Gambia","Female","-","-","-","-","-","-","-","-"
"Gambia","Male","-","-","-","-","-","-","-","-"
"Ghana","Overview","43%","22.0732%","62.5176%","68.6%","69.3607%","69.9445%","-","-"
"Ghana","Female","-","-","-","-","-","-","-","-"
"Ghana","Male","-","-","-","-","-","-","-","-"
"Guinea","Overview","21.83%","22.6255%","23.4499%","24.3044%","24.6954%","26.5014%","-","-"
"Guinea","Female","15.4%","-","-","-","-","-","-","-"
"Guinea","Male","29.4%","-","-","-","-","-","-","-"
"Guinea-Bissau","Overview","15.7%","17.9215%","20.4573%","23.3519%","27.5672%","32.4661%","-","-"
"Guinea-Bissau","Female","-","-","-","-","-","-","-","-"
"Guinea-Bissau","Male","-","-","-","-","-","-","-","-"
"Hong Kong, China","Overview","90.5074%","91.7434%","92.4131%","93.0872%","95.6136%","95.9778%","-","-"
"Hong Kong, China","Female","89.1429%","90.4722%","91.2712%","91.8974%","94.6831%","95.1066%","-","-"
"Hong Kong, China","Male","92.0172%","93.1508%","93.6865%","94.413%","96.6376%","96.9476%","-","-"
"India","Overview","20.0813%","29.5235%","43.4054%","-","55.9%","-","-","70%"
"India","Female","14.9%","-","-","-","-","-","-","63.1%"
"India","Male","25%","-","-","-","-","-","-","76.7%"
"Indonesia","Overview","39.9046%","47.6906%","53.7265%","62.1045%","66.4846%","69.2084%","72.7808%","-"
"Indonesia","Female","37.4875%","44.864%","50.7787%","59.1433%","63.532%","66.3477%","69.9034%","-"
"Indonesia","Male","42.3069%","50.4971%","56.6524%","65.0491%","69.3878%","72.0652%","75.6503%","-"
"Iran (Islamic Republic of)","Overview","70.2006%","72.4509%","75.5699%","78.5957%","79.061%","79.6309%","-","-"
"Iran (Islamic Republic of)","Female","66.5468%","68.8309%","72.6008%","77.6856%","-","-","-","-"
"Iran (Islamic Republic of)","Male","73.772%","76.0378%","78.5346%","79.5041%","-","-","-","-"
"Japan","Overview","88.7464%","92.7304%","90.2195%","82.9141%","84.9234%","86.9815%","-","-"
"Japan","Female","86.4968%","90.9525%","87.7409%","79.7779%","82.1328%","-","-","-"
"Japan","Male","91.1605%","94.6445%","92.8485%","86.2623%","87.8911%","-","-","-"
"Kenya","Overview","19.5%","22.6688%","-","-","-","-","34.9762%","-"
"Kenya","Female","-","20.2305%","-","-","-","-","32.1852%","-"
"Kenya","Male","-","25.1738%","-","-","-","-","37.8239%","-"
"Kiribati","Overview","32.9864%","39.5737%","-","-","-","88%","-","-"
"Kiribati","Female","-","-","-","-","-","-","-","-"
"Kiribati","Male","-","-","-","-","-","-","-","-"
"Korea (Rep. of)","Overview","96.0229%","96.1576%","96.5051%","97.5713%","97.1686%","97.416%","97.8956%","-"
"Korea (Rep. of)","Female","94.8292%","95.3135%","95.7146%","96.9235%","96.5631%","96.7274%","98.1798%","-"
"Korea (Rep. of)","Male","97.1748%","96.9736%","97.2681%","98.1968%","97.7589%","98.0887%","97.6215%","-"
"Lao P.D.R.","Overview","36.3%","47.0323%","54%","62%","62.7001%","63.6255%","-","-"
"Lao P.D.R.","Female","-","-","-","-","-","-","-","-"
"Lao P.D.R.","Male","-","-","-","-","-","-","-","-"
"Lesotho","Overview","40.8%","42.3017%","43.6575%","45.0567%","46.5007%","47.991%","-","-"
"Lesotho","Female","-","44.9228%","-","-","-","-","-","-"
"Lesotho","Male","-","38.35%","-","-","-","-","-","-"
"Liberia","Overview","17.2777%","18.3141%","19.4126%","20.5771%","21.8966%","23.4979%","-","-"
"Liberia","Female","-","-","-","-","-","-","-","-"
"Liberia","Male","-","-","-","-","-","-","-","-"
"Macao, China","Overview","83.7941%","86.4679%","87.4623%","88.4681%","87.9696%","89.1806%","-","-"
"Macao, China","Female","83.7895%","85.756%","-","88.3626%","-","-","-","-"
"Macao, China","Male","83.771%","87.2861%","-","88.6168%","-","-","-","-"
"Madagascar","Overview","7.7478%","9.37944%","11.3547%","13.7459%","18.5532%","20.3671%","-","-"
"Madagascar","Female","-","-","-","-","-","-","-","-"
"Madagascar","Male","-","-","-","-","-","-","-","-"
"Malawi","Overview","8.79829%","11.0586%","13.8995%","17.4703%","17.0457%","17.9881%","-","-"
"Malawi","Female","-","-","-","-","-","16.123%","-","-"
"Malawi","Male","-","-","-","-","-","18.8351%","-","-"
"Malaysia","Overview","81.201%","84.1871%","89.555%","96.7514%","97.3986%","97.6927%","98.0206%","-"
"Malaysia","Female","78.7261%","82.369%","87.7006%","96.32%","95.85%","97.1838%","97.6373%","-"
"Malaysia","Male","83.5169%","85.8538%","91.2531%","97.1502%","98.829%","98.153%","98.3628%","-"
"Maldives","Overview","70.9%","77.4697%","79.0978%","81.9576%","83.9119%","84.6851%","-","-"
"Maldives","Female","-","-","-","-","95.4996%","-","-","-"
"Maldives","Male","-","-","-","-","76.3672%","-","-","-"
"Mali","Overview","21.4%","24.9603%","29.113%","33.9565%","34.3797%","35.0921%","-","-"
"Mali","Female","-","-","-","-","-","-","-","-"
"Mali","Male","-","-","-","-","-","-","-","-"
"Marshall Islands","Overview","43.8825%","49.7575%","56.4191%","63.9726%","64.8023%","65.7177%","-","-"
"Marshall Islands","Female","-","-","-","-","-","-","-","-"
"Marshall Islands","Male","-","-","-","-","-","-","-","-"
"Mauritius","Overview","58.5962%","61.73%","67.7329%","71.6%","75.5%","79.5%","-","-"
"Mauritius","Female","56.3968%","60.1306%","66.5088%","-","-","-","-","-"
"Mauritius","Male","60.8746%","63.3931%","69.0175%","-","-","-","-","-"
"Micronesia","Overview","36.6%","38%","39.3833%","-","-","-","-","-"
"Micronesia","Female","-","-","-","-","-","-","-","-"
"Micronesia","Male","-","-","-","-","-","-","-","-"
"Mongolia","Overview","47.13%","51.08%","62.5%","81.6068%","82.1725%","83.0162%","-","-"
"Mongolia","Female","51.204%","55.0473%","-","80.4054%","-","-","-","-"
"Mongolia","Male","42.7963%","46.861%","-","82.9063%","-","-","-","-"
