"Economy","Disaggregation","2018","2019","2020","2021","2022","2023","2024","2025"
"Afghanistan","Overview","16.8%","17.6%","17.0485%","16.5143%","17.1917%","17.7089%","-","-"
"Afghanistan","14 years and younger","-","-","-","-","-","-","-","-"
"Afghanistan","15 to 24 years","-","-","-","-","-","-","-","-"
"Afghanistan","25 to 74 years","-","-","-","-","-","-","-","-"
"Afghanistan","75 years and older","-","-","-","-","-","-","-","-"
"Angola","Overview","29%","32.1294%","36.6347%","39.3876%","42.0719%","44.7581%","-","-"
"Angola","14 years and younger","-","-","-","-","-","-","-","-"
"Angola","15 to 24 years","-","-","-","-","-","-","-","-"
"Angola","25 to 74 years","-","-","-","-","-","-","-","-"
"Angola","75 years and older","-","-","-","-","-","-","-","-"
"Australia","Overview","90%","93.6099%","94.6935%","96.9722%","97.0424%","97.0631%","-","-"
"Australia","14 years and younger","-","-","-","-","-","-","-","-"
"Australia","15 to 24 years","-","-","-","-","-","-","-","-"
"Australia","25 to 74 years","-","-","-","-","-","-","-","-"
"Australia","75 years and older","-","-","-","-","-","-","-","-"
"Bangladesh","Overview","25.6%","30.4%","36.1091%","38.9174%","41.6165%","44.5027%","-","-"
"Bangladesh","14 years and younger","-","-","-","19.0548%","-","16.2369%","-","-"
"Bangladesh","15 to 24 years","-","-","-","64.1766%","-","71.513%","-","-"
"Bangladesh","25 to 74 years","-","-","-","37.9919%","-","45.484%","-","-"
"Bangladesh","75 years and older","-","-","-","5.92442%","-","3.69288%","-","-"
"Benin","Overview","19%","20.5%","22.1206%","28.2047%","30.0134%","32.2083%","-","-"
"Benin","14 years and younger","-","-","-","-","-","-","-","-"
"Benin","15 to 24 years","-","-","-","-","-","-","-","-"
"Benin","25 to 74 years","-","-","-","-","-","-","-","-"
"Benin","75 years and older","-","-","-","-","-","-","-","-"
"Bhutan","Overview","63.5%","74.1794%","76.8508%","85.6369%","86.2903%","88.426%","-","-"
"Bhutan","14 years and younger","-","-","-","-","-","-","-","-"
"Bhutan","15 to 24 years","-","-","-","-","-","-","-","-"
"Bhutan","25 to 74 years","-","-","-","-","-","-","-","-"
"Bhutan","75 years and older","-","-","-","-","-","-","-","-"
"Botswana","Overview","54.2022%","61.3865%","69.523%","78.738%","80.3696%","81.36%","-","-"
"Botswana","14 years and younger","-","-","-","-","-","-","-","-"
"Botswana","15 to 24 years","-","-","-","-","-","-","-","-"
"Botswana","25 to 74 years","-","-","-","-","-","-","-","-"
"Botswana","75 years and older","-","-","-","-","-","-","-","-"
"Brunei Darussalam","Overview","95%","95%","96.3055%","97.6288%","98.9704%","99.0336%","-","-"
"Brunei Darussalam","14 years and younger","-","-","-","-","-","-","-","-"
"Brunei Darussalam","15 to 24 years","-","-","-","-","-","-","-","-"
"Brunei Darussalam","25 to 74 years","-","-","-","-","-","-","-","-"
"Brunei Darussalam","75 years and older","-","-","-","-","-","-","-","-"
"Burkina Faso","Overview","8.5%","9.27181%","10.7927%","12.5631%","14.6238%","17.0226%","-","-"
"Burkina Faso","14 years and younger","-","-","-","-","-","-","-","-"
"Burkina Faso","15 to 24 years","-","-","-","-","-","-","-","-"
"Burkina Faso","25 to 74 years","-","-","-","-","-","-","-","-"
"Burkina Faso","75 years and older","-","-","-","-","-","-","-","-"
"Burundi","Overview","4%","6.1%","9.17302%","10.9847%","11.0009%","11.0784%","-","-"
"Burundi","14 years and younger","-","-","-","-","-","-","-","-"
"Burundi","15 to 24 years","-","-","-","-","-","-","-","-"
"Burundi","25 to 74 years","-","-","-","-","-","-","-","-"
"Burundi","75 years and older","-","-","-","-","-","-","-","-"
"Cabo Verde","Overview","59.5%","61.9434%","69.3734%","70.2825%","72.7601%","73.539%","-","-"
"Cabo Verde","14 years and younger","-","31.4777%","-","-","-","-","-","-"
"Cabo Verde","15 to 24 years","-","79.8564%","-","-","-","-","-","-"
"Cabo Verde","25 to 74 years","-","65.0337%","-","-","-","-","-","-"
"Cabo Verde","75 years and older","-","7.87777%","-","-","-","-","-","-"
"Cambodia","Overview","-","52.3059%","53.6508%","57.9592%","59.6606%","60.7171%","-","-"
"Cambodia","14 years and younger","-","-","-","-","-","-","-","-"
"Cambodia","15 to 24 years","-","-","-","-","-","-","-","-"
"Cambodia","25 to 74 years","-","-","-","-","-","-","-","-"
"Cambodia","75 years and older","-","-","-","-","-","-","-","-"
"Cameroon","Overview","29.7%","36.5392%","41.2264%","42.0405%","41.775%","41.9088%","-","-"
"Cameroon","14 years and younger","-","-","-","-","-","-","-","-"
"Cameroon","15 to 24 years","-","-","-","-","-","-","-","-"
"Cameroon","25 to 74 years","-","-","-","-","-","-","-","-"
